Model,Brand,Year,Price,Mileage,Transmission
Perodua Myvi,Perodua,2018,"42,800","93,094 km",Automatic
Perodua Bezza,Perodua,2017,"31,800","80,877 km",Automatic
Perodua Bezza,Perodua,2018,"34,800","109,846 km",Automatic
Perodua Aruz,Perodua,2020,"55,900","65,120 km",Automatic
Hyundai Tucson,Hyundai,2014,"26,500","58,336 km",Automatic
Toyota Harrier,Toyota,2017,"117,300","96,309 km",Automatic
Perodua AXIA,Perodua,2019,"31,500","76,990 km",Automatic
Perodua Aruz,Perodua,2020,"53,200","51,780 km",Automatic
Perodua Myvi,Perodua,2020,"45,000","54,249 km",Automatic
Perodua Myvi,Perodua,2019,"44,800","83,677 km",Automatic
Proton Saga,Proton,2019,"26,800","91,835 km",Automatic
Mercedes-Benz C250,Mercedes-Benz,2016,"129,000","68,035 km",Automatic
Perodua Myvi,Perodua,2019,"44,800","85,736 km",Automatic
Mazda CX-3,Mazda,2018,"78,000","59,421 km",Automatic
Perodua Aruz,Perodua,2019,"52,900","92,241 km",Automatic
Nissan Almera,Nissan,2021,"57,800","40,163 km",Automatic
Kia Rio,Kia,2019,"50,700","87,628 km",Automatic
Proton Saga,Proton,2021,"29,900","62,946 km",Automatic
Honda City,Honda,2018,"58,700","104,710 km",Automatic
Proton Saga,Proton,2020,"29,200","50,896 km",Automatic
Perodua AXIA,Perodua,2019,"28,800","91,926 km",Automatic
Perodua Bezza,Perodua,2017,"34,700","88,300 km",Automatic
Proton Iriz,Proton,2019,"29,500","72,202 km",Automatic
Honda City,Honda,2019,"54,200","73,091 km",Automatic
Toyota Wish,Toyota,2014,"58,900","176,332 km",Automatic
Perodua Bezza,Perodua,2017,"31,800","101,474 km",Automatic
Honda Civic,Honda,2016,"75,300","122,867 km",Automatic
Proton Saga,Proton,2017,"23,000","115,769 km",Automatic
Perodua AXIA,Perodua,2021,"39,400","14,187 km",Automatic
Mazda CX-5,Mazda,2014,"37,900","152,243 km",Automatic
Proton Persona,Proton,2017,"29,900","99,389 km",Automatic
Toyota Vios,Toyota,2016,"49,800","122,177 km",Automatic
Perodua AXIA,Perodua,2019,"31,800","66,459 km",Automatic
Perodua AXIA,Perodua,2019,"28,800","78,354 km",Automatic
Honda Jazz,Honda,2015,"43,900","146,958 km",Automatic
Toyota Wish,Toyota,2010,"38,800","135,109 km",Automatic
Perodua Bezza,Perodua,2017,"31,800","124,865 km",Automatic
Honda City,Honda,2018,"58,700","96,970 km",Automatic
Perodua Myvi,Perodua,2016,"36,000","91,042 km",Automatic
Perodua Myvi,Perodua,2019,"44,800","85,384 km",Automatic
Toyota Vios,Toyota,2014,"35,800","166,906 km",Automatic
Nissan Serena,Nissan,2017,"61,400","61,739 km",Automatic
Perodua Aruz,Perodua,2019,"52,800","87,702 km",Automatic
Honda City,Honda,2012,"24,900","195,069 km",Automatic
Suzuki Jimny,Suzuki,2021,"136,000","43,882 km",Automatic
Toyota Vios,Toyota,2016,"50,200","122,039 km",Automatic
Toyota Yaris,Toyota,2019,"61,300","75,131 km",Automatic
Proton Saga,Proton,2020,"29,200","57,012 km",Automatic
Perodua Myvi,Perodua,2020,"45,900","79,273 km",Automatic
Nissan Grand,Nissan,2011,"17,500","218,301 km",Automatic
Mazda CX-5,Mazda,2018,"85,800","77,046 km",Automatic
Toyota Vios,Toyota,2019,"58,400","69,142 km",Automatic
Perodua Myvi,Perodua,2018,"42,800","118,783 km",Automatic
Proton Persona,Proton,2016,"26,200","130,405 km",Automatic
Proton Saga,Proton,2017,"22,300","108,249 km",Automatic
Perodua Ativa,Perodua,2022,"62,000","39,314 km",Automatic
