Model,Brand,Year,Price,Mileage,Transmission
Honda CR-V,Honda,2016,59900,103399,Automatic
Honda Civic,Honda,2018,89900,51659,Automatic
Proton Persona,Proton,2018,31900,106557,Automatic
Perodua AXIA,Perodua,2019,31600,108634,Automatic
Nissan Almera,Nissan,2017,34900,71491,Automatic
Perodua Bezza,Perodua,2021,42000,57812,Automatic
Perodua AXIA,Perodua,2020,32400,40576,Automatic
Perodua Aruz,Perodua,2019,50000,58941,Automatic
Perodua Ativa,Perodua,2021,62800,33071,Automatic
Perodua Aruz,Perodua,2019,54400,35190,Automatic
Perodua AXIA,Perodua,2016,24400,133956,Automatic
Perodua AXIA,Perodua,2018,28400,66905,Automatic
Volkswagen Tiguan,Volkswagen,2018,78900,92847,Automatic
Honda BR-V,Honda,2019,56900,95405,Automatic
Honda CR-V,Honda,2017,93000,130279,Automatic
Proton Exora,Proton,2016,27900,144397,Automatic
Toyota Vios,Toyota,2017,54400,100355,Automatic
Perodua Ativa,Perodua,2021,62800,67274,Automatic
Honda HR-V,Honda,2016,57900,65241,Automatic
Perodua AXIA,Perodua,2020,32400,57438,Automatic
Toyota Camry,Toyota,2019,133000,51521,Automatic
Proton Exora,Proton,2020,44800,40150,Automatic
Nissan Serena,Nissan,2019,92900,69365,Automatic
Proton X50,Proton,2022,69800,29647,Automatic
Perodua Bezza,Perodua,2018,36400,84072,Automatic
Proton X70,Proton,2019,64900,68266,Automatic
Perodua AXIA,Perodua,2019,31500,81298,Automatic
Perodua Bezza,Perodua,2019,38000,100895,Automatic
Toyota Vios,Toyota,2021,70400,46025,Automatic
Mercedes-Benz C250,Mercedes-Benz,2016,174000,78832,Automatic
Toyota Hiace,Toyota,2015,59900,280979,Manual
Honda Jazz,Honda,2016,50000,60585,Automatic
Proton X50,Proton,2023,91200,22672,Automatic
Toyota Hiace,Toyota,2014,67900,120758,Manual
Proton Saga,Proton,2017,26400,110815,Automatic
Honda Jazz,Honda,2016,44100,80469,Automatic
Honda HR-V,Honda,2019,76900,72028,Automatic
Perodua Bezza,Perodua,2017,29600,117841,Automatic
Mercedes-Benz GLA250,Mercedes-Benz,2022,207500,38737,Automatic
Honda City,Honda,2019,57600,88486,Automatic
Honda HR-V,Honda,2023,113100,8351,Automatic
Perodua Myvi,Perodua,2016,25200,123929,Automatic
Toyota Yaris,Toyota,2019,56100,86270,Automatic
Toyota Vios,Toyota,2017,53000,103386,Automatic
Honda Jazz,Honda,2017,52400,127136,Automatic
Toyota Vios,Toyota,2017,50200,90297,Automatic
Perodua Aruz,Perodua,2019,49500,77662,Automatic
Nissan X-Trail,Nissan,2020,83200,55961,Automatic
Toyota Yaris,Toyota,2020,65900,32103,Automatic
Kia Sorento,Kia,2011,13000,197458,Automatic
Honda HR-V,Honda,2017,56600,111497,Automatic
Perodua Bezza,Perodua,2017,32700,121545,Automatic
Proton Persona,Proton,2019,34000,85678,Automatic
Perodua Myvi,Perodua,2016,31600,117171,Automatic
Honda Jazz,Honda,2016,49000,105313,Automatic
Toyota Yaris,Toyota,2019,65900,65520,Automatic
Perodua Myvi,Perodua,2019,43600,71325,Automatic
Mazda CX-3,Mazda,2019,78700,55121,Automatic
Honda HR-V,Honda,2016,59400,106662,Automatic
Proton X50,Proton,2020,76300,22218,Automatic
Honda Jazz,Honda,2019,57400,72819,Automatic
Toyota Yaris,Toyota,2022,74800,7710,Automatic
Perodua Bezza,Perodua,2016,36400,112123,Automatic
Honda City,Honda,2018,54900,104254,Automatic
Toyota Yaris,Toyota,2021,72900,13857,Automatic
Perodua Myvi,Perodua,2018,42400,89013,Automatic
Honda City,Honda,2022,74300,38492,Automatic
Toyota Innova,Toyota,2019,83800,90531,Automatic
Perodua Bezza,Perodua,2017,33000,110338,Automatic
Toyota Innova,Toyota,2019,92000,91381,Automatic
Perodua Bezza,Perodua,2018,31000,109743,Automatic
Toyota Camry,Toyota,2019,128800,80209,Automatic
Proton Iriz,Proton,2016,25400,103519,Automatic
