Model,Brand,Year,Price,Mileage,Transmission
Mercedes-Benz A250,Mercedes-Benz,2015,"69,888",50 - 55K KM,Automatic
Perodua AXIA,Perodua,2017,"25,888",80 - 85K KM,Automatic
Proton Saga,Proton,2024,"32,888",5 - 10K KM,Automatic
Perodua Alza,Perodua,2011,"18,888",100 - 105K KM,Automatic
Perodua Myvi,Perodua,2012,"15,888",90 - 95K KM,Automatic
Perodua Myvi,Perodua,2019,"33,888",40 - 45K KM,Automatic
Mazda CX-5,Mazda,2018,"68,888",55 - 60K KM,Automatic
Mercedes-Benz C200,Mercedes-Benz,2019,"125,800",80 - 85K KM,Automatic
Honda HR-V,Honda,2015,"44,900",80 - 85K KM,Automatic
Hyundai Grand Starex,Hyundai,2019,"119,800",45 - 50K KM,Automatic
BMW 320i,BMW,2024,"249,800",0 - 5K KM,Automatic
BMW X4,BMW,2022,"308,000",45 - 50K KM,Automatic
Kia Cerato,Kia,2015,"23,800",90 - 95K KM,Automatic
Toyota Alphard,Toyota,2016/2018,"149,800",60 - 65K KM,Automatic
Mercedes-Benz C300,Mercedes-Benz,2019,"169,800",55 - 60K KM,Automatic
BMW 330e,BMW,2019,"99,000",65 - 70K KM,Automatic
Audi A6,Audi,2013,"27,000",110 - 115K KM,Automatic
Perodua AXIA,Perodua,2019,"32,000",74069 KM,Automatic
Mercedes-Benz E250,Mercedes-Benz,2013/2015,"108,800",135 - 140K KM,Automatic
BMW X5,BMW,2022,"319,000",30 - 35K KM,Automatic
Ford Fiesta,Ford,2015,"68,000",60 - 65K KM,Manual
Nissan Latio,Nissan,2008,"9,800",170 - 175K KM,Automatic
Perodua Bezza,Perodua,2017,"35,200",120749 KM,Automatic
Mazda CX-3,Mazda,2019,"63,000",105 - 110K KM,Automatic
Mazda CX-3,Mazda,2019,"63,000",105 - 110K KM,Automatic
Toyota Vios,Toyota,2010,"18,800",210 - 215K KM,Manual
Mercedes-Benz C200,Mercedes-Benz,2018,"148,000",35 - 40K KM,Automatic
Proton Persona,Proton,2016,"24,800",132169 KM,Automatic
Perodua Myvi,Perodua,2017,"37,100",95428 KM,Automatic
Toyota Innova,Toyota,2020,"94,800",50 - 55K KM,Automatic
MINI Clubman,MINI,2019/2023,"169,800",25 - 30K KM,Automatic
Honda CR-V,Honda,2005,"13,800",195 - 200K KM,Automatic
Mercedes-Benz CLA200,Mercedes-Benz,2015,"86,800",75 - 80K KM,Automatic
Honda City,Honda,2023,"73,800",30 - 35K KM,Automatic
Mercedes-Benz C250,Mercedes-Benz,2018,"135,800",60 - 65K KM,Automatic
Toyota Vellfire,Toyota,2015/2020,"137,800",70 - 75K KM,Automatic
Nissan Navara,Nissan,2021,"89,800",95 - 100K KM,Automatic
Mitsubishi Triton,Mitsubishi,2020,"89,800",95 - 100K KM,Automatic
Toyota Vellfire,Toyota,2015/2020,"137,800",70 - 75K KM,Automatic
Nissan Navara,Nissan,2021,"89,800",95 - 100K KM,Automatic
Mitsubishi Triton,Mitsubishi,2020,"89,800",95 - 100K KM,Automatic
Mercedes-Benz E250,Mercedes-Benz,2013/2016,"89,800",80 - 85K KM,Automatic
Mitsubishi Triton,Mitsubishi,2020/2021,"95,800",75 - 80K KM,Automatic
Toyota Hilux,Toyota,2021,"96,800",120 - 125K KM,Automatic
Perodua Myvi,Perodua,2018,"41,000",104174 KM,Automatic
Proton Saga,Proton,2020,"29,200",51402 KM,Automatic
Proton Saga,Proton,2017,"24,000",130808 KM,Automatic
Proton Iriz,Proton,2015,"19,900",102542 KM,Automatic
Perodua Myvi,Perodua,2014,"23,000",173491 KM,Automatic
Perodua Myvi,Perodua,2015,"25,000",146866 KM,Automatic
Honda City,Honda,2017,"51,200",120678 KM,Automatic
Toyota Vios,Toyota,2017,"49,000",123989 KM,Automatic
Perodua Myvi,Perodua,2019,"42,800",49153 KM,Automatic
Proton Iriz,Proton,2021,"30,888",50 - 55K KM,Automatic
Perodua Myvi,Perodua,2018,"33,888",40 - 45K KM,Automatic
Mercedes-Benz A250,Mercedes-Benz,2020,"177,800",50 - 55K KM,Automatic
Perodua Myvi,Perodua,2010,"12,500",205 - 210K KM,Automatic
Toyota Corolla Altis,Toyota,2020,"89,888",75 - 80K KM,Automatic
Honda Civic,Honda,2022,"123,000",32557 KM,Automatic
Perodua Myvi,Perodua,2014,"25,500",166246 KM,Automatic
Toyota Corolla Altis,Toyota,2020,"89,888",75 - 80K KM,Automatic
Honda Civic,Honda,2022,"123,000",32557 KM,Automatic
Perodua Myvi,Perodua,2014,"25,500",166246 KM,Automatic
Perodua Myvi,Perodua,2020,"46,800",73943 KM,Automatic
Perodua Myvi,Perodua,2021,"40,000",65234 KM,Automatic
Perodua Myvi,Perodua,2017,"35,800",137481 KM,Automatic
Perodua Myvi,Perodua,2019,"44,800",94766 KM,Automatic
Perodua Myvi,Perodua,2019,"42,800",89391 KM,Automatic
Perodua Myvi,Perodua,2019,"44,800",85736 KM,Automatic
Proton X70,Proton,2021,"73,500",44761 KM,Automatic
Proton X70,Proton,2019,"64,900",61379 KM,Automatic
Perodua Alza,Perodua,2011,"21,900",190133 KM,Automatic
Toyota Alphard,Toyota,2020,"229,400",48795 KM,Automatic
Toyota Vios,Toyota,2021,"70,400",46025 KM,Automatic
Perodua Myvi,Perodua,2015,"25,900",111800 KM,Automatic
Honda City,Honda,2006,"10,800",105 - 110K KM,Automatic
